state,population_density_persqrmile,population
New Jersey,1215.1985,8936570
Rhode Island,1021.4313,1056160
Massachusetts,894.4359,6976600
Connecticut,735.8695,3563080
Maryland,626.6735,6083120
Delaware,504.3073,982895
New York,412.5218,19440500
Florida,410.1259,21993000
Ohio,287.504,11747700
Pennsylvania,286.5454,12820900
California,256.3728,39937500
Illinois,228.0246,12659700
Hawaii,219.9424,1412690
Virginia,218.4404,8626210
North Carolina,218.271,10611900
Indiana,188.2809,6745350
Georgia,186.6726,10736100
Michigan,177.665,10045000
South Carolina,173.3176,5210100
Tennessee,167.2749,6897580
New Hampshire,153.161,1371250
Washington,117.3273,7797100
Kentucky,113.9566,4499690
Texas,112.8204,29472300
Wisconsin,108.0496,5851750
Louisiana,107.5174,4645180
Alabama,96.9221,4908620
Missouri,89.7453,6169270
West Virginia,73.9691,1778070
Minnesota,71.5922,5700670
Vermont,68.1416,628061
Arizona,64.9549,7378490
Mississippi,63.7056,2989260
Arkansas,58.403,3039000
Oklahoma,57.6546,3954820
Iowa,56.9284,3179850
Colorado,56.4012,5845530
Oregon,44.8086,4301090
Maine,43.6336,1345790
Utah,39.943,3282120
Kansas,35.5968,2910360
Nevada,28.5993,3139660
Nebraska,25.4161,1952570
Idaho,22.097,1826160
New Mexico,17.285,2096640
South Dakota,11.9116,903027
North Dakota,11.0393,761723
Montana,7.4668,1086760
Wyoming,5.84,567025
Alaska,1.2863,734002
